game_id,patch,league,team1,team2,winner,team1_picks,team2_picks,team1_bans,team2_bans
LOLTMNT02_260050,15.09,NACL,Blue,Red,Red,"['Yone', 'Lillia', 'Ambessa', 'Lucian', 'Nami']","['Naafiri', 'Azir', 'Shen', 'Jhin', 'Rakan']","['Vi', 'Varus', 'Taliyah', 'Nautilus', 'Corki']","['Poppy', 'Rumble', 'Syndra', 'Miss Fortune', 'Xayah']"
LOLTMNT05_131400,15.09,LFL,Blue,Red,Red,"['Ambessa', 'Wukong', 'Ezreal', 'Renata Glasc', 'Ryze']","['Varus', 'Gwen', 'Nocturne', 'Nautilus', 'Hwei']","['Sejuani', 'Vi', 'Poppy', 'Orianna', 'Akali']","['Maokai', 'Rumble', 'Vladimir', 'Braum', 'Rell']"
LOLTMNT02_259089,15.09,NACL,Blue,Red,Red,"['Jayce', 'Maokai', 'Renekton', 'Ezreal', 'Nautilus']","['Yorick', 'Pantheon', 'Viktor', 'Jinx', 'Braum']","['Orianna', 'Syndra', 'Vi', ""Kog'Maw"", 'Aphelios']","['Varus', 'Rumble', 'Tristana', 'Corki', 'Miss Fortune']"
LOLTMNT02_259099,15.09,NACL,Blue,Red,Blue,"['Xin Zhao', 'Orianna', ""Kai'Sa"", 'Poppy', 'Gragas']","['Sejuani', 'Corki', 'Sylas', 'Rell', 'Aatrox']","['Vi', 'Varus', 'Tristana', 'Alistar', 'Olaf']","['Gwen', 'Rumble', 'Syndra', 'Sion', 'Jax']"
LOLTMNT02_260087,15.09,NACL,Blue,Red,Red,"['Jayce', 'Sejuani', 'Ryze', 'Xayah', 'Rakan']","['Sion', 'Xin Zhao', 'Tristana', 'Orianna', 'Alistar']","['Jax', 'Vi', 'Azir', 'Viktor', 'Taliyah']","['Gwen', 'Naafiri', 'Varus', 'Corki', 'Miss Fortune']"
LOLTMNT02_260097,15.09,NACL,Blue,Red,Blue,"['Azir', 'Lucian', 'Milio', 'Maokai', 'Gnar']","['Taliyah', 'Leona', 'Jinx', 'Wukong', 'Ambessa']","['Jax', 'Vi', 'Viktor', 'Gragas', 'Pantheon']","['Gwen', 'Naafiri', 'Varus', 'Poppy', 'Lillia']"
LOLTMNT02_259124,15.09,NACL,Blue,Red,Red,"['Varus', 'Lillia', 'Syndra', 'Nidalee', 'Neeko']","['Jhin', 'Hwei', 'Camille', 'Nocturne', 'Karma']","['Ezreal', 'Viktor', 'Vi', 'Pantheon', 'Bard']","['Jax', 'Gwen', 'Naafiri', 'Renekton', 'Volibear']"
LOLTMNT02_260157,15.09,LCKC,Blue,Red,Blue,"['Taliyah', 'Gwen', 'Wukong', 'Poppy', 'Miss Fortune']","['Naafiri', 'Rumble', 'Ahri', 'Rell', 'Lucian']","['Varus', 'Xin Zhao', 'Sejuani', 'Ezreal', 'Alistar']","['Vi', 'Pantheon', 'Kalista', 'Nautilus', 'Rakan']"
LOLTMNT02_259146,15.09,LCKC,Blue,Red,Red,"['Naafiri', 'Ambessa', 'Annie', 'Miss Fortune', 'Leona']","['Varus', 'Rumble', 'Xin Zhao', 'Viktor', 'Rell']","['Azir', 'Poppy', 'Jayce', 'Alistar', 'Orianna']","['Vi', 'Neeko', 'Taliyah', 'Rakan', 'Ashe']"
LOLTMNT02_260160,15.09,LCKC,Blue,Red,Red,"['Jayce', 'Viktor', 'Poppy', 'Miss Fortune', 'Rell']","['Rumble', 'Naafiri', 'Ahri', 'Ezreal', 'Alistar']","['Varus', 'Wukong', 'Taliyah', 'Elise', 'Lucian']","['Vi', 'Xin Zhao', 'Azir', 'Kalista', ""Kai'Sa""]"
